overall_pick,year,team,player,college/former,position,height,years_played,games,win_shares,win_shares_40,minutes_played,points,total_rebounds,assists,spg,bpg,fg%,3-fg%,ft%
13,2017,Connecticut Sun,Shayla Cooper,Ohio State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
14,2017,New York Liberty,Lindsay Allen,Notre Dame,null,null,5,114,2.9,0.068,15.1,3.8,1.4,2.7,null,null,null,null,null
15,2017,Seattle Storm,Alexis Peterson,Syracuse,null,null,1,17,-0.3,-0.112,7.1,2.1,1.2,0.8,null,null,null,null,null
16,2017,Connecticut Sun,Leticia Romero,Florida State,null,null,1,21,0,-0.007,7,1.1,0.8,1.1,null,null,null,null,null
17,2017,Indiana Fever,Erica McCall,Stanford,null,null,5,122,0.9,0.026,11.3,2.9,2.8,0.3,null,null,null,null,null
18,2017,Washington Mystics,Jennie Simms,Old Dominion,null,null,2,37,0.1,0.008,11,2.8,1.8,0.8,null,null,null,null,null
19,2017,Atlanta Dream,Jordan Reynolds,Tennessee,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
20,2017,Indiana Fever,Feyonda Fitzgerald,Temple,null,null,1,2,0,-0.191,4,0,2,0.5,null,null,null,null,null
21,2017,Chicago Sky,Chantel Osahor,Washington,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
22,2017,Indiana Fever,Ronni Williams,Florida,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
23,2017,Dallas Wings,Breanna Lewis,Kansas State,null,null,2,19,-0.4,-0.229,4.1,0.7,0.8,0.1,null,null,null,null,null
24,2017,Minnesota Lynx,Lisa Berkani,USO Mondeville (France),null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
25,2017,San Antonio Stars,Schaquilla Nunn,Tennessee,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
26,2017,Dallas Wings,Saniya Chong,UConn,null,null,2,38,0.2,0.017,10.7,2.5,0.9,1,null,null,null,null,null
27,2017,Washington Mystics,Mehryn Kraker,Green Bay,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
28,2017,Connecticut Sun,Jessica January,DePaul,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
29,2017,Phoenix Mercury,Alexis Prince,Baylor,null,null,3,22,0.2,0.063,6.9,2.3,1,0.3,null,null,null,null,null
30,2017,Seattle Storm,Lanay Montgomery,West Virginia,null,null,1,7,0,-0.045,4,0.9,0.7,0,null,null,null,null,null
31,2017,Atlanta Dream,Oderah Chidom,Duke,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
32,2017,Indiana Fever,Adrienne Motley,Miami (FL),null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
33,2017,Chicago Sky,Makayla Epps,Kentucky,null,null,1,17,-0.3,-0.207,3.8,0.6,0.2,0.4,null,null,null,null,null
34,2017,New York Liberty,Kai James,Florida State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
35,2017,Los Angeles Sparks,Saicha Grant-Allen,Dayton,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
36,2017,Minnesota Lynx,Tahlia Tupaea,Sydney Uni Flames (Australia),null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
1,2016,Seattle Storm,Breanna Stewart,UConn,Forward,6'4,6,183,35.2,0.237,32.4,20.3,8.6,2.9,1.4,1.3,46.5%,36.9%,84.1%
2,2016,San Antonio Stars,Moriah Jefferson,UConn,Guard,5'6,6,140,5.7,0.07,23.3,9.1,2.1,3.6,1,0.1,44.6%,38.5%,73.4%
3,2016,Connecticut Sun,Morgan Tuck,UConn,Forward,6'2,5,125,2.5,0.059,13.6,5.1,2.2,0.8,0.4,0.1,41%,32.2%,71.7%
4,2016,Connecticut Sun,Rachel Banham,Minnesota,Guard,5'10,7,190,4.7,0.074,13.3,5.2,1.1,1.5,0.3,0.1,39%,36.3%,77.7%
5,2016,Dallas Wings,Aerial Powers,Michigan State,Guard,6'0,7,153,7.7,0.096,21.1,11.4,3.5,1.7,0.7,0.2,44.5%,35.3%,86.4%
6,2016,Los Angeles Sparks,Jonquel Jones,George Washington,Center,6'6,6,196,31.3,0.258,24.8,13.6,8.3,1.6,0.9,1.4,50.5%,39.2%,79.1%
7,2016,Washington Mystics,Kahleah Copper,Rutgers University,Guard,6'1,7,216,7.4,0.065,21.1,10,3.4,1.2,0.5,0.1,44.4%,35.2%,78.1%
8,2016,Phoenix Mercury,Courtney Williams,South Florida,Guard,5'8,7,209,11.5,0.081,27.3,12.5,5.3,3,0.8,0.2,44.6%,36.8%,70.7%
9,2016,Indiana Fever,Tiffany Mitchell,South Carolina,Guard,5'9,7,209,3.5,0.029,23.3,9.6,2.5,1.8,0.7,0.1,38.8%,27.9%,87.3%
10,2016,Chicago Sky,Imani McGee-Stafford,Texas,Center,6'7,4,121,3.7,0.089,13.8,4.4,4.2,0.6,0.5,0.8,49.3%,28.6%,62.7%
11,2016,Atlanta Dream,Bria Holmes,West Virginia,Guard,6'3,5,136,2.5,0.039,18.8,6.5,2.3,1.2,0.7,0.2,38.8%,27%,67.6%
12,2016,New York Liberty,Adut Bulgak,Florida State,Center,6'4,2,12,0.2,0.092,7,3,2.4,0,0.4,0.2,42.4%,40%,66.7%
13,2016,Atlanta Dream,Rachel Hollivay,Rutgers University,null,null,2,39,0.2,0.022,8.2,1.2,1.9,0.1,null,null,null,null,null
14,2016,Minnesota Lynx,Jazmon Gwathmey,James Madison University,null,null,3,60,-1.2,-0.052,15.8,4.5,1.8,0.8,null,null,null,null,null
15,2016,Los Angeles Sparks,Whitney Knight,Florida Gulf Coast,null,null,1,10,-0.2,-0.198,3.8,0.6,0.5,0.2,null,null,null,null,null
16,2016,Atlanta Dream,Courtney Walker,Texas A&M,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
17,2016,Connecticut Sun,Jamie Weisner,Oregon State,null,null,1,7,0,0.029,3.6,1.7,0.4,0.3,null,null,null,null,null
18,2016,Dallas Wings,Ruth Hamblin,Oregon State,null,null,1,20,-0.2,-0.049,6.5,1.1,1.5,0.2,null,null,null,null,null
19,2016,Washington Mystics,Lia Galdeira,Washington State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
20,2016,Phoenix Mercury,Jillian Alleyne,Oregon,null,null,2,7,0,0.025,3.1,0.6,1.3,0.1,null,null,null,null,null
21,2016,Indiana Fever,Brene Moseley,Maryland,null,null,1,8,-0.6,-0.323,9.6,1.9,0.4,1.1,null,null,null,null,null
22,2016,Minnesota Lynx,Bashaara Graves,Tennessee,null,null,2,22,0,0.003,6,1.4,1.2,0.3,null,null,null,null,null
23,2016,Los Angeles Sparks,Brianna Butler,Syracuse,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
24,2016,New York Liberty,Ameryst Alston,Ohio State,null,null,2,3,0,0.035,1,0.7,0.7,0.3,null,null,null,null,null
25,2016,San Antonio Stars,Brittney Martin,Oklahoma State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
26,2016,Seattle Storm,Lexi Eaton Rydalch,BYU,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
27,2016,Connecticut Sun,Aliyyah Handford,St. John's,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
28,2016,Atlanta Dream,Niya Johnson,Baylor,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
29,2016,Los Angeles Sparks,Talia Walton,Washington,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
30,2016,Dallas Wings,Shakena Richardson,Seton Hall,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
31,2016,Washington Mystics,Danaejah Grant,St. John's,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
32,2016,Phoenix Mercury,Nirra Fields,UCLA,null,null,1,4,-0.2,-0.466,4.3,0.8,0,0,null,null,null,null,null
33,2016,Indiana Fever,Julie Allemand,Castors Braine (Belgium),null,null,2,47,1.8,0.064,23.8,5.6,3,4.5,null,null,null,null,null
34,2016,Chicago Sky,Jordan Jones,Texas A&M,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
35,2016,Minnesota Lynx,Temi Fagbenle,USC,null,null,3,69,1.1,0.067,9.3,3.1,1.9,0.5,null,null,null,null,null
36,2016,New York Liberty,Shacobia Barbee,Georgia,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
1,2015,Seattle Storm,Jewell Loyd,Notre Dame,Guard,5'10,8,252,21.3,0.116,29.3,15.3,3.4,3.1,1.2,0.2,42.2%,34.4%,88%
2,2015,Tulsa Shock,Amanda Zahui B.,Minnesota,Center,6'5,7,197,4.1,0.053,15.7,6.2,4,0.7,0.7,0.9,45.2%,31.9%,73.3%
3,2015,Seattle Storm,Kaleena Mosqueda-Lewis,UConn,Forward,5'11,6,157,0.4,0.008,12.5,5.1,1.1,0.6,0.2,0.1,39.4%,33.7%,87.2%
4,2015,Connecticut Sun,Elizabeth Williams,Duke,Center-Forward,6'3,8,238,18.4,0.12,25.8,8.4,5.8,1.1,0.8,1.6,48.3%,0%,64.9%
5,2015,Chicago Sky,Cheyenne Parker,Middle Tennessee,Forward,6'4,8,215,11.5,0.117,18.3,8,4.8,0.9,0.8,0.9,50.2%,31.3%,77.2%
6,2015,San Antonio Stars,Dearica Hamby,Wake Forest,Forward,6'3,8,242,14.6,0.108,22.3,9.2,5.6,1.4,0.9,0.3,49.7%,27.8%,69.6%
7,2015,Los Angeles Sparks,Crystal Bradford,Central Michigan University,Forward,6'0,2,39,0.9,0.06,14.9,6.5,2.8,1.1,0.9,0.3,41.4%,33.3%,50%
8,2015,Washington Mystics,Ally Malott,Dayton,Forward,6'4,2,47,0.2,0.024,8.4,2.7,1,0.4,0.2,0.1,38.3%,37.1%,81%
9,2015,New York Liberty,Brittany Boyd,California,Guard,5'9,6,130,3.3,0.056,18.4,6.2,3.2,3.9,1.4,0.1,39.2%,26.9%,73.4%
10,2015,Atlanta Dream,Samantha Logic,Iowa,Guard,5'9,1,27,-0.9,-0.106,12.7,1.8,1.4,1.1,0.3,0.3,24%,19.4%,85.7%
11,2015,New York Liberty,Kiah Stokes,UConn,Center,6'3,7,202,12.7,0.123,20.4,4.3,5.8,0.8,0.3,0.3,24%,19.4%,85.7%
12,2015,Phoenix Mercury,Isabelle Harrison,Tennessee,Forward,6'3,6,167,8,0.092,20.7,8.6,4.9,1.1,0.8,0.4,52.9%,25%,84.2%
13,2015,Tulsa Shock,Brianna Kiesel,Pitt,null,null,3,57,-0.4,-0.019,13.9,3.5,0.7,1.6,null,null,null,null,null
14,2015,Los Angeles Sparks,Cierra Burdick,Tennessee,null,null,5,56,0.8,0.073,7.4,1.8,1.4,0.5,null,null,null,null,null
15,2015,Washington Mystics,Natasha Cloud,Saint Joseph's,null,null,7,211,10.9,0.078,26.5,7.3,3,4.9,null,null,null,null,null
16,2015,Minnesota Lynx,Reshanda Gray,California,null,null,6,141,1.5,0.038,11.2,3.8,3.1,0.3,null,null,null,null,null
17,2015,Chicago Sky,Betnijah Laney,Rutgers University,null,null,7,166,3.6,0.039,22.1,8.3,3.2,2.3,null,null,null,null,null
18,2015,Phoenix Mercury,Alex Harden,Wichita State,null,null,2,60,-0.1,-0.005,10,1.8,1.1,0.7,null,null,null,null,null
19,2015,Connecticut Sun,Brittany Hrynko,DePaul,null,null,1,7,-0.2,-0.365,2.6,0.3,0,0.1,null,null,null,null,null
20,2015,Seattle Storm,Vicky McIntyre,Oral Roberts,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
21,2015,Indiana Fever,Chelsea Gardner,Kansas,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
22,2015,Chicago Sky,Aleighsa Welch,South Carolina,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
23,2015,New York Liberty,Amber Orrange,Stanford,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
24,2015,Phoenix Mercury,Zofia Hruscakova,Good Angels KoÅ¡ice (Slovakia),null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
25,2015,Tulsa Shock,Mimi Mungedi,Nevada,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
26,2015,Seattle Storm,Nneka Enemkpali,Texas,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
27,2015,New York Liberty,Laurin Mincy,Maryland,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
28,2015,New York Liberty,Michala Johnson,Wisconsin,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
29,2015,Atlanta Dream,Ariel Massengale,Tennessee,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
30,2015,San Antonio Stars,Dragana Stankovic,UNIQA Euroleasing Sopron (Hungary),null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
31,2015,Los Angeles Sparks,Andrea Hoover,Dayton,null,null,1,12,-0.1,-0.033,14.3,3.8,1.3,0.3,null,null,null,null,null
32,2015,Washington Mystics,Marica Gajic,Å½KK Celje (Slovenia),null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
33,2015,San Antonio Stars,Nikki Moody,Iowa State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
34,2015,Atlanta Dream,Lauren Okafor,James Madison University,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
35,2015,Minnesota Lynx,Shae Kelley,Minnesota,null,null,1,8,-0.1,-0.127,2.4,0.1,0.4,0.1,null,null,null,null,null
36,2015,Phoenix Mercury,Promise Amukamara,Arizona State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
1,2014,Connecticut Sun,Chiney Ogwumike,Stanford,Forward-Center,6'3,6,160,18.4,0.192,23.9,11.8,6.7,0.9,1,0.6,55.7%,50%,74.1%
2,2014,Tulsa Shock,Odyssey Sims,Baylor,Guard,5'8,9,240,11,0.065,28.4,12.1,2.6,3.8,1.1,0.1,46.7%,27.3%,82.8%
3,2014,San Antonio Stars,Kayla McBride,Notre Dame,Guard,5'11,9,258,20.6,0.108,29.7,14.4,3.4,2.3,1.1,0.1,43.4%,37.8%,90%
4,2014,New York Liberty,Alyssa Thomas,Maryland,Forward,6'2,9,240,23.9,0.136,29.2,11.9,6.9,3.5,1.4,0.3,50%,0%,65.9%
5,2014,Indiana Fever,Natasha Howard,Florida State,Forward,6'3,9,270,18.6,0.132,20.8,10.2,5.1,1.2,1.2,0.7,50.5%,29%,73.7%
6,2014,Washington Mystics,Stefanie Dolson,UConn,Center,6'5,9,271,17,0.107,23.5,9.2,4.8,1.8,0.4,0.8,49.5%,40.2%,85%
7,2014,Seattle Storm,Bria Hartley,UConn,Guard,5'9,9,207,4.4,0.042,20.3,7.9,2.2,2.6,0.6,0.1,44.4%,36.1%,76.8%
8,2014,Atlanta Dream,Shoni Schimmel,Louisville,Guard,5'9,4,85,1.6,0.045,17,6.6,1.9,2.8,0.6,0.1,37.9%,36.6%,84.5%
9,2014,Indiana Fever,Natalie Achonwa,Notre Dame,Forward,6'3,8,211,12.3,0.131,17.9,7.1,4.2,1.1,0.5,0.5,51.9%,12%,80.8%
10,2014,Chicago Sky,Markeisha Gatling,NC State,Center,6'5,3,81,2.1,0.096,11,3.8,2.6,0.2,0.2,0.4,53.7%,0%,84.2%
11,2014,Connecticut Sun,Chelsea Gray,Duke,Guard,5'11,8,258,22.6,0.128,27.4,11.9,3,4.7,1.2,0.3,45.9%,38%,86.7%
12,2014,Minnesota Lynx,Tricia Liston,Duke,Forward,6'0,2,null,null,null,null,null,null,null,0.2,0.1,41.3%,44.1%,87.5%
13,2014,Tulsa Shock,Jordan Hooper,Nebraska,null,null,4,128,1.5,0.034,14.2,4.5,1.8,0.3,null,null,null,null,null
14,2014,New York Liberty,Tyaunna Marshall,Georgia Tech,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
15,2014,Minnesota Lynx,Asya Bussie,West Virginia,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
16,2014,San Antonio Stars,Astou Ndour,Gran Canarias (Spain),null,null,6,114,3.7,0.092,14,5.4,3.3,0.4,null,null,null,null,null
17,2014,Phoenix Mercury,Tiffany Bias,Oklahoma State,null,null,4,54,-0.7,-0.087,6.1,1.8,0.3,0.6,null,null,null,null,null
18,2014,Atlanta Dream,Inga Orekhova,South Florida,null,null,2,6,-0.2,-0.395,4,0,0.3,0,null,null,null,null,null
19,2014,Seattle Storm,Michelle Plouffe,Utah,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
20,2014,Atlanta Dream,Cassie Harberts,USC,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
21,2014,Phoenix Mercury,Maggie Lucas,Penn State,null,null,4,72,1.6,0.073,12.1,4.4,0.9,0.7,null,null,null,null,null
22,2014,Chicago Sky,Gennifer Brandon,California,null,null,1,16,-0.1,-0.038,7.6,1.8,2.6,0.2,null,null,null,null,null
23,2014,Los Angeles Sparks,Jennifer Hamson,BYU,null,null,2,37,0.7,0.109,6.7,1.8,1.7,0.2,null,null,null,null,null
24,2014,Minnesota Lynx,Christina Foggie,Vanderbilt,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
25,2014,Connecticut Sun,DeNesha Stallworth,Kentucky,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
26,2014,New York Liberty,Meighan Simmons,Tennessee,null,null,2,36,-0.4,-0.084,5.3,2.7,0.4,0.3,null,null,null,null,null
27,2014,Tulsa Shock,Theresa Plaisance,LSU,null,null,9,218,3.4,0.047,13.2,4.5,3,0.7,null,null,null,null,null
28,2014,San Antonio Stars,Bri Kulas,Missouri,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
29,2014,Indiana Fever,Haiden Palmer,Gonzaga,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
30,2014,Washington Mystics,Carley Mijovic,Canberra Capitals (Australia),null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
31,2014,Seattle Storm,Mikaela Ruef,Stanford,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
32,2014,Washington Mystics,Kody Burke,NC State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
33,2014,Phoenix Mercury,Stephanie Talbot,Adelaide Lightning (Australia),null,null,5,162,5.4,0.08,16.7,4.8,2.6,1.4,null,null,null,null,null
34,2014,Chicago Sky,Jamierra Faulkner,Southern Miss,null,null,5,131,0.1,0.003,16,6.2,1.4,3.1,null,null,null,null,null
35,2014,Los Angeles Sparks,Antonita Slaughter,Louisville,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
36,2014,Minnesota Lynx,Asia Taylor,Louisville,null,null,5,76,0.5,0.036,7.4,2.2,1.6,0.5,null,null,null,null,null
1,2013,Phoenix Mercury,Brittney Griner,Baylor,Center,6'9,9,254,41.9,0.213,30.9,17.7,7.6,1.8,0.5,2.8,55.9%,33.3%,80.1%
2,2013,Chicago Sky,Elena Delle Donne,University of Delaware,Forward-Guard,6'5,9,218,47.4,0.285,30.5,19.8,6.8,1.8,0.7,1.4,50.8%,39.1%,93.5%
3,2013,Tulsa Shock,Skylar Diggins-Smith,Notre Dame,Guard,5'9,9,252,24.8,0.123,32.1,16.7,2.9,5,1.2,0.7,46.6%,34.6%,85.5%
4,2013,Washington Mystics,Tayler Hill,Ohio State,Guard,5'9,7,145,6,0.084,19.7,8.9,1.7,1.7,0.8,0.1,33.9%,32.3%,84%
5,2013,New York Liberty,Kelsey Bone,Texas A&M,Center,6'4,5,168,4.4,0.053,19.6,8.1,4.6,1.2,0.5,0.3,47%,16.7%,63.4%
6,2013,Seattle Storm,Tianna Hawkins,Maryland,Forward,6'3,9,257,8.5,0.095,13.9,5.8,3.1,0.6,0.5,0.3,47.7%,32.8%,84.6%
7,2013,New York Liberty,Toni Young,Oklahoma State,Forward,6'0,2,39,0.4,0.04,9.8,3.5,1.6,0.4,0.3,0.3,46.2%,0%,65.2%
8,2013,San Antonio Silver Stars,Kayla Alexander,Syracuse,Center,6'4,8,203,4,0.066,11.8,4,2.8,0.3,0.2,0.4,50.8%,0%,76.3%
9,2013,Indiana Fever,Layshia Clarendon,California,Guard,5'9,9,239,6.6,0.05,22.1,7.6,2.7,3.2,0.7,0,43.2%,31.8%,81%
10,2013,Los Angeles Sparks,A'dia Mathies,Kentucky,Guard,5'9 ,1,30,0.1,0.018,9.2,2.3,0.7,0.8,0.3,0.1,35.3%,25%,64%
11,2013,Connecticut Sun,Kelly Faris,UConn,Guard,5'11,4,112,1,0.031,11.7,2.1,1.6,0.7,0.4,0.1,36.1%,28.1%,82%
12,2013,Minnesota Lynx,Lindsey Moore,Nebraska,Guard,5'8,2,35,0,-0.009,6.6,1,0.6,1.1,0.2,0,23.9%,28.6%,70%
13,2013,Atlanta Dream,Alex Bentley,Penn State,null,null,7,222,8.5,0.062,24.6,10.6,1.7,2.9,null,null,null,null,null
14,2013,Minnesota Lynx,Sugar Rodgers,Georgetown,null,null,8,247,9.7,0.086,18.2,7,2.5,1.6,null,null,null,null,null
15,2013,New York Liberty,Kamiko Williams,Tennessee,null,null,1,34,-0.4,-0.032,13.3,2.6,2.1,0.9,null,null,null,null,null
16,2013,San Antonio Silver Stars,Davellyn Whyte,Arizona,null,null,2,31,-0.3,-0.027,14.3,4.2,1.8,1.7,null,null,null,null,null
17,2013,Washington Mystics,Nadirah McKenith,St. John's,null,null,2,38,0.6,0.081,8.1,2.5,1.1,0.9,null,null,null,null,null
18,2013,Seattle Storm,Chelsea Poppens,Iowa State,null,null,1,8,0,0.026,7.9,1.1,2.1,0.1,null,null,null,null,null
19,2013,Washington Mystics,Emma Meesseman,Villeneuve-d'Ascq (France),null,null,8,238,29.2,0.188,26.1,11.5,5.3,2.6,null,null,null,null,null
20,2013,San Antonio Silver Stars,Diandra Tchatchouang,Perpignan (France),null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
21,2013,Indiana Fever,Jasmine Hassell,Georgia,null,null,2,24,-0.2,-0.052,7.6,1.7,0.8,0.4,null,null,null,null,null
22,2013,Los Angeles Sparks,Brittany Chambers,Kansas State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
23,2013,Connecticut Sun,Anna Prins,Iowa State,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
24,2013,Minnesota Lynx,Chucky Jeffery,Colorado,null,null,2,17,0.1,0.049,4.6,1,0.9,0.2,null,null,null,null,null
25,2013,New York Liberty,Shenneika Smith,St. John's,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
26,2013,Phoenix Mercury,Nikki Greene,Penn State,null,null,2,23,0,-0.012,6,0.8,1.5,0.1,null,null,null,null,null
27,2013,New York Liberty,Olcay Cakir,FenerbahÃ§e (Turkey),null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
28,2013,Chicago Sky,Brooklyn Pope,Baylor,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
29,2013,Tulsa Shock,Angel Goodrich,Kansas,null,null,3,82,0,0,14.9,2.9,1.3,2.2,null,null,null,null,null
30,2013,Seattle Storm,Jasmine James,Georgia,null,null,1,16,-0.1,-0.03,11.9,3.1,1.4,1.8,null,null,null,null,null
31,2013,Atlanta Dream,Anne Marie Armstrong,Georgia,null,null,1,9,0.1,0.128,2.8,0.7,0.4,0,null,null,null,null,null
32,2013,San Antonio Silver Stars,Whitney Hand,Oklahoma,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
33,2013,Indiana Fever,Jennifer George,Florida,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
34,2013,Los Angeles Sparks,Alina Iagupova,Elizabeth-Basket Kivorograd (Ukraine),null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
35,2013,Connecticut Sun,Andrea Smith,South Florida,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
36,2013,Minnesota Lynx,Waltiea Rolle,UNC,null,null,1,6,0.3,0.176,11,2.7,3.2,0.3,null,null,null,null,null
1,2012,Los Angeles Sparks,Nneka Ogwumike,Stanford,Forward,6'2,11,320,57.2,0.243,29.4,16.2,7.4,1.9,1.5,0.6,53.6%,36.3%,84.1%
2,2012,Seattle Storm,Shekinna Stricklen,Tennessee,Forward,6'2,10,311,14.6,0.095,19.8,7.2,2.3,0.8,0.7,0.2,39.9%,36.4%,74.8%
3,2012,Minnesota Lynx,Devereaux Peters,Notre Dame,Forward,6'2,6,160,7,0.111,15.7,4.3,3.6,1.1,0.5,0.8,47.4%,30.8%,73.8%
4,2012,Tulsa Shock,Glory Johnson,Tennessee,Forward,6'3,8,222,15.8,0.105,27.2,11.4,7.4,1.3,1.3,0.5,44%,31.1%,72.8%
5,2012,San Antonio Silver Stars,Shenise Johnson,Miami (FL),Guard,5'11,8,205,9.7,0.091,20.8,8.2,3.6,1.8,1.1,0.2,40.3%,34.8%,86.1%
6,2012,Phoenix Mercury,Samantha Prahalis,Ohio State,Guard,5'7,3,41,-0.8,-0.031,24.8,8.4,2.5,3.5,1.2,0.1,35.2%,25.7%,87.1%
7,2012,New York Liberty,Kelley Cain,Tennessee,Center,6'6,2,28,0,-0.004,6.5,1.2,1.5,0.1,0.1,0.3,35.3%,0%,66.7%
8,2012,Washington Mystics,Natalie Novosel,Notre Dame,Guard,5'11,1,31,0.1,0.011,9.9,3.2,1.3,0.7,0.5,0.1,33.7%,22%,75.9%
9,2012,Connecticut Sun,Astan Dabo,Mali,Guard,5'11,0,null,null,null,null,null,null,null,null,null,null,null,null
10,2012,Washington Mystics,LaSondra Barrett,LSU,Forward,6'2,0,null,null,null,null,null,null,null,null,null,null,null,null
11,2012,Indiana Fever,Sasha Goodlett,Georgia Tech,Center,6'5,4,101,1.4,0.055,10.2,2.7,1.9,0.2,0.2,0.4,43.7%,0%,74.3%
12,2012,Minnesota Lynx,Damiris Dantas,Brazil,Center-Forward,6'4,8,202,10.9,0.102,21.2,7.7,4.3,1.6,0.5,0.3,43.5%,33.5%,79%
13,2012,Los Angeles Sparks,Farhiya Abdi,Frisco SIKA (Czech Republic),null,null,3,52,-0.1,-0.01,9.6,2.9,1,0.4,null,null,null,null,null
14,2012,Atlanta Dream,Tiffany Hayes,UConn,null,null,10,277,28.4,0.147,27.9,13.8,3.3,2.4,null,null,null,null,null
15,2012,Los Angeles Sparks,Khadijah Rushdan,Rutgers University,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
16,2012,Los Angeles Sparks,Tyra White,Texas A&M,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
17,2012,Tulsa Shock,Riquna Williams,Miami (FL),null,null,10,253,17.3,0.127,21.6,10.5,2.2,1.5,null,null,null,null,null
18,2012,Minnesota Lynx,Julie Wojta,Green Bay,null,null,2,4,0,0.006,7.3,1.5,2,0.3,null,null,null,null,null
19,2012,Minnesota Lynx,Kayla Standish,Gonzaga,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
20,2012,Minnesota Lynx,Nika Baric,Spartak Moscow (Russia),null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
21,2012,Connecticut Sun,Chay Shegog,UNC,null,null,1,3,0,-0.025,3,1,0.7,0,null,null,null,null,null
22,2012,Seattle Storm,Keisha Hampton,DePaul,null,null,2,46,0.9,0.108,7.2,3,0.5,0.3,null,null,null,null,null
23,2012,Chicago Sky,Shey Peddy,Temple,null,null,4,98,5.3,0.113,19,6.1,2.5,2.4,null,null,null,null,null
24,2012,Phoenix Mercury,C'eira Ricketts,Arkansas,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
25,2012,Tulsa Shock,Vicki Baugh,Tennessee,null,null,3,78,2.3,0.096,12.1,4,3.5,0.4,null,null,null,null,null
26,2012,Washington Mystics,Anjale Barrett,Maryland,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null
27,2012,Chicago Sky,Sydney Carter,Texas A&M,null,null,4,65,-1.4,-0.065,13.1,2.9,1,1.3,null,null,null,null,null
